prov_name,yr,age,pop_prop
Hebei,2002,0,0.011819166
Hebei,2002,1_14,0.195559459
Hebei,2002,15_49,0.574738427
Hebei,2002,50_,0.217882949
Hebei,2003,0,0.012114221
Hebei,2003,1_14,0.185053098
Hebei,2003,15_49,0.573125532
Hebei,2003,50_,0.229707149
Hebei,2004,0,0.012409277
Hebei,2004,1_14,0.174546738
Hebei,2004,15_49,0.571512637
Hebei,2004,50_,0.241531349
Hebei,2005,0,0.012704332
Hebei,2005,1_14,0.164040377
Hebei,2005,15_49,0.569899742
Hebei,2005,50_,0.253355549
Hebei,2006,0,0.01261341
Hebei,2006,1_14,0.162442286
Hebei,2006,15_49,0.569530831
Hebei,2006,50_,0.255413472
Hebei,2007,0,0.012522488
Hebei,2007,1_14,0.160844196
Hebei,2007,15_49,0.569161921
Hebei,2007,50_,0.257471395
Hebei,2008,0,0.012431565
Hebei,2008,1_14,0.159246105
Hebei,2008,15_49,0.568793011
Hebei,2008,50_,0.259529318
Hebei,2009,0,0.012340643
Hebei,2009,1_14,0.157648014
Hebei,2009,15_49,0.568424101
Hebei,2009,50_,0.261587241
Hebei,2010,0,0.012249721
Hebei,2010,1_14,0.156049924
Hebei,2010,15_49,0.568055191
Hebei,2010,50_,0.263645164
Hebei,2011,0,0.011936094
Hebei,2011,1_14,0.159163113
Hebei,2011,15_49,0.556899801
Hebei,2011,50_,0.272000992
Hebei,2012,0,0.011622467
Hebei,2012,1_14,0.162276301
Hebei,2012,15_49,0.545744412
Hebei,2012,50_,0.28035682
Hebei,2013,0,0.01130884
Hebei,2013,1_14,0.16538949
Hebei,2013,15_49,0.534589022
Hebei,2013,50_,0.288712648
Hebei,2014,0,0.010995213
Hebei,2014,1_14,0.168502679
Hebei,2014,15_49,0.523433632
Hebei,2014,50_,0.297068476
Shanxi,1990,0,0.016294508
Shanxi,1990,1_14,0.265178086
Shanxi,1990,15_49,0.558302131
Shanxi,1990,50_,0.160225275
Shanxi,1991,0,0.016294508
Shanxi,1991,1_14,0.265659991
Shanxi,1991,15_49,0.556562807
Shanxi,1991,50_,0.161482693
Shanxi,1992,0,0.016294508
Shanxi,1992,1_14,0.266141896
Shanxi,1992,15_49,0.554823484
Shanxi,1992,50_,0.162740112
Shanxi,1993,0,0.016294508
Shanxi,1993,1_14,0.266623801
Shanxi,1993,15_49,0.55308416
Shanxi,1993,50_,0.163997531
Shanxi,1994,0,0.016294508
Shanxi,1994,1_14,0.267105705
Shanxi,1994,15_49,0.551344837
Shanxi,1994,50_,0.16525495
Shanxi,1995,0,0.016294508
Shanxi,1995,1_14,0.26758761
Shanxi,1995,15_49,0.549605513
Shanxi,1995,50_,0.166512369
Shanxi,1996,0,0.015665041
